Date,Nouns
2011.01.11,"['물가', '보도', '차례상', '걱정', '유해', '서울', '예상', '도매', '가격', '배추', '대형', '마트', '용품', '조기', '고기', '지난해', '값', '품목', '가격', '급등', '농산물', '가격', '피해', '지난', '피해', '구제역', '영향', '돼지고기', '값', '국제', '값', '국내', '생산자', '물가', '생산자', '물가', '최고', '생산자', '물가', '소비자', '물가', '소비자', '물가', '뉴스']"
2011.01.12,"['중국', '논란', '빚', '독일', '산', '달걀', '돼지고기', '수입', '중단', '중국', '품질', '검사', '국가', '품질', '감독', '검사', '검역', '독일', '산', '달걀', '돼지고기', '수입', '중단', '검역', '물량', '검사', '시행', '독일', '정부', '사료', '유통', '닭', '달걀', '돼지', '오염', '확인', '닭', '돼지', '매몰', '처분']"
2011.01.12,"['가공', '업체', '고기', '납품', '비', '혐의', '서울', '대형', '외식', '업체', '납품', '업체', '구매', '직원', '불량', '판정', '고기', '서울', '지난해', '지난', '미국', '산', '쇠고기', '벨기에', '산', '돼지고기', '육류', '국내', '호주', '산', '납품', '직원', '혐의', '서울', '가공', '업체']"
2011.01.13,"['전역', '가축', '전염병', '국내', '산업', '위기', '구제역', '소', '매몰', '돼지', '우리나라', '소', '돼지', '충남', '인플루엔자', '닭', '매몰', '축산', '농가', '보도', '구제역', '경북', '축사', '소', '빚', '걱정', '경북', '방법', '소', '매몰', '경북', '농가', '소', '사료', '소', '농민', '경북', '매몰', '처분', '경북', '제도', '조류인플루엔자', '전남', '닭', '농민', '강화', '전남', '전국', '구제역', '축산', '농민', '뉴스', '경제', '상황', '축산', '농가', '문제', '매몰', '가축', '축산물', '가격', '시작', '도매', '값', '한우', '구제역', '돼지고기', '값', '값', '한우', '값', '정도', '돼지고기', '값', '대형', '마트', '할인', '행사', '영향', '구제역', '소비', '생산자', '소비자', '축산', '유통업', '현장', '경기도', '도축장', '소', '돼지', '도축', '작업', '중단', '지역', '소', '돼지', '절반', '가축', '이동', '통제', '녹취', '도축', '업체', '정도', '비용', '발생', '도축', '중단', '시장', '상태', '소', '가공', '업체', '처리', '물량', '녹취', '가공', '업체', '작업', '축산', '정도', '정육점', '손님', '손님', '가격', '녹취', '정육점', '상인', '손님', '녹취', '정육점', '상인', '돼지', '시장', '가축', '문제', '소', '돼지', '사실', '중국', '구제역', '발생', '매몰', '포기', '방역', '매몰', '바이러스', '확산', '가장', '효과', '대책', '전국', '확산', '상황', '문제', '위기', '산업', '현장', '축사', '구제역', '한우', '지난해', '예방', '매몰', '처분', '더', '정부', '기간', '예방', '매몰', '처분', '농가', '한우', '구제역', '정부', '생활', '대책', '우유', '생산', '농민', '예방', '매몰', '처분', '구제역', '구제역', '매몰', '처분', '가축', '가축', '전염병', '방법', '개정안', '처리', '뉴스', '뉴스', '문제']"
2011.01.13,"['지난해', '발생', '구제역', '축산물', '수출', '감소', '피해', '관세청', '관세청', '지난', '축산물', '수출', '금액', '달러', '감소', '쇠고기', '감소', '돼지고기', '타격', '축산물', '수입', '지난', '증가', '쇠고기', '돼지고기', '감소', '관세청']"
2011.01.13,"['외국인', '우리나라', '가장', '서비스', '제공', '서비스', '서비스', '요리', '재료', '배달', '음식', '주문', '식당', '경기도', '경기도', '주문', '정도', '더', '최고', '쪽', '경기도', '경기도', '더', '서울', '손님', '값', '주문', '라면', '양파', '주문', '직원', '배달', '요리', '주문', '주문', '배달', '주문', '주문', '손님', '직원', '배달', '비', '사용', '준비', '재료', '고객', '배달', '직원', '손님', '더', '요리', '재료', '해결', '식사', '준비', '서울', '서울', '식당', '돼지고기', '메뉴', '서울', '고기', '직접', '서울', '음식', '주문', '음식', '직원', '손님', '식당', '식당', '주문', '손님', '주문', '음식', '고기', '고기', '경기도', '사실', '돈', '정말', '손님', '서비스', '사람']"
2011.01.13,"['확산', '구제역', '여파', '지난해', '국내', '수입', '외국산', '쇠고기', '증가', '수입', '가격', '오른', '관세청', '농축', '수산물', '수입', '가격', '동향', '냉동', '수입', '기간', '급증', '수입', '가격', '기간', '돼지고기', '냉동', '삼겹살', '수입량', '감소', '가격', '수입', '가격', '오른', '밀', '오른', '집계', '채소', '양파', '정도']"
2011.01.14,"['구제역', '국내', '산', '돼지고기', '소고기', '값', '크게', '오른', '수입', '돼지고기', '국내', '산', '적발', '보도', '경남', '식당', '원산지', '식당', '국내', '고기', '확인', '수입', '돼지고기', '녹취', '단속', '지방', '아주', '지방', '수입', '의심', '돼지고기', '공급', '가공', '업체', '점검', '냉동', '독일', '산', '돼지고기', '업체', '수입', '돼지고기', '국내', '산', '고기', '국내', '산', '가공', '업체', '직원', '음성', '수입', '고기', '가공', '고기', '식당', '확인', '거래', '돼지고기', '구제역', '발생', '국내', '산', '수입', '고기', '공급', '정도', '정부', '원산지', '더', '단속', '뉴스']"
2011.01.14,"['구제역', '국내', '산', '돼지고기', '소고기', '값', '크게', '오른', '수입', '돼지고기', '국내', '산', '적발', '보도', '경남', '식당', '원산지', '식당', '국내', '고기', '확인', '수입', '돼지', '단속', '지방', '아주', '지방', '수입', '의심', '돼지고기', '공급', '가공', '업체', '점검', '냉동', '독일', '산', '돼지고기', '업체', '수입', '돼지고기', '국내', '산', '고기', '국내', '산', '가공', '업체', '직원', '음성', '수입', '고기', '가공', '고기', '식당', '확인', '거래', '돼지고기', '구제역', '발생', '국내', '산', '수입', '고기', '공급', '정도', '정부', '원산지', '더', '단속', '뉴스']"
2011.01.17,"['북한', '쌀', '옥수수', '식료품', '가격', '급등', '일본', '북한', '평양', '지난', '북한', '돈', '옥수수', '돼지고기', '급등', '북한', '악화', '주요', '수출', '부족', '상인', '물가', '더', '예상', '쌀', '옥수수', '판매']"
