Date,Noun_freq
2011.01.11,"[('물가', 6), ('가격', 3), ('값', 3), ('생산자', 3), ('피해', 2), ('소비자', 2), ('보도', 1), ('차례상', 1), ('걱정', 1), ('유해', 1), ('서울', 1), ('예상', 1), ('도매', 1), ('배추', 1), ('대형', 1), ('마트', 1), ('용품', 1), ('조기', 1), ('고기', 1), ('지난해', 1), ('품목', 1), ('급등', 1), ('농산물', 1), ('지난', 1), ('구제역', 1), ('영향', 1), ('돼지고기', 1), ('국제', 1), ('국내', 1), ('최고', 1), ('뉴스', 1)]"
2011.01.12,"[('독일', 3), ('달걀', 3), ('검사', 3), ('중국', 2), ('산', 2), ('돼지고기', 2), ('수입', 2), ('중단', 2), ('품질', 2), ('검역', 2), ('닭', 2), ('돼지', 2), ('논란', 1), ('빚', 1), ('국가', 1), ('감독', 1), ('물량', 1), ('시행', 1), ('정부', 1), ('사료', 1), ('유통', 1), ('오염', 1), ('확인', 1), ('매몰', 1), ('처분', 1)]"
2011.01.12,"[('업체', 4), ('납품', 3), ('서울', 3), ('산', 3), ('가공', 2), ('고기', 2), ('혐의', 2), ('직원', 2), ('비', 1), ('대형', 1), ('외식', 1), ('구매', 1), ('불량', 1), ('판정', 1), ('지난해', 1), ('지난', 1), ('미국', 1), ('쇠고기', 1), ('벨기에', 1), ('돼지고기', 1), ('육류', 1), ('국내', 1), ('호주', 1)]"
2011.01.13,"[('매몰', 11), ('구제역', 10), ('소', 10), ('가축', 6), ('돼지', 6), ('축산', 5), ('경북', 5), ('처분', 5), ('값', 5), ('농가', 4), ('농민', 4), ('문제', 4), ('한우', 4), ('녹취', 4), ('뉴스', 3), ('정도', 3), ('도축', 3), ('업체', 3), ('정육점', 3), ('손님', 3), ('예방', 3), ('전염병', 2), ('산업', 2), ('위기', 2), ('닭', 2), ('축사', 2), ('방법', 2), ('전남', 2), ('전국', 2), ('상황', 2), ('가격', 2), ('돼지고기', 2), ('현장', 2), ('작업', 2), ('중단', 2), ('발생', 2), ('시장', 2), ('가공', 2), ('처리', 2), ('상인', 2), ('확산', 2), ('대책', 2), ('정부', 2), ('전역', 1), ('국내', 1), ('우리나라', 1), ('충남', 1), ('인플루엔자', 1), ('보도', 1), ('빚', 1), ('걱정', 1), ('사료', 1), ('제도', 1), ('조류인플루엔자', 1), ('강화', 1), ('경제', 1), ('축산물', 1), ('시작', 1), ('도매', 1), ('대형', 1), ('마트', 1), ('할인', 1), ('행사', 1), ('영향', 1), ('소비', 1), ('생산자', 1), ('소비자', 1), ('유통업', 1), ('경기도', 1), ('도축장', 1), ('지역', 1), ('절반', 1), ('이동', 1), ('통제', 1), ('비용', 1), ('상태', 1), ('물량', 1), ('사실', 1), ('중국', 1), ('포기', 1), ('방역', 1), ('바이러스', 1), ('가장', 1), ('효과', 1), ('지난해', 1), ('더', 1), ('기간', 1), ('생활', 1), ('우유', 1), ('생산', 1), ('개정안', 1)]"
2011.01.13,"[('감소', 4), ('축산물', 3), ('관세청', 3), ('수출', 2), ('지난', 2), ('쇠고기', 2), ('돼지고기', 2), ('지난해', 1), ('발생', 1), ('구제역', 1), ('피해', 1), ('금액', 1), ('달러', 1), ('타격', 1), ('수입', 1), ('증가', 1)]"
2011.01.13,"[('주문', 11), ('손님', 6), ('배달', 5), ('경기도', 5), ('서울', 5), ('서비스', 4), ('음식', 4), ('식당', 4), ('직원', 4), ('요리', 3), ('재료', 3), ('더', 3), ('고기', 3), ('준비', 2), ('외국인', 1), ('우리나라', 1), ('가장', 1), ('제공', 1), ('정도', 1), ('최고', 1), ('쪽', 1), ('값', 1), ('라면', 1), ('양파', 1), ('비', 1), ('사용', 1), ('고객', 1), ('해결', 1), ('식사', 1), ('돼지고기', 1), ('메뉴', 1), ('직접', 1), ('사실', 1), ('돈', 1), ('정말', 1), ('사람', 1)]"
2011.01.13,"[('수입', 6), ('가격', 5), ('오른', 3), ('냉동', 2), ('기간', 2), ('확산', 1), ('구제역', 1), ('여파', 1), ('지난해', 1), ('국내', 1), ('외국산', 1), ('쇠고기', 1), ('증가', 1), ('관세청', 1), ('농축', 1), ('수산물', 1), ('동향', 1), ('급증', 1), ('돼지고기', 1), ('삼겹살', 1), ('수입량', 1), ('감소', 1), ('밀', 1), ('집계', 1), ('채소', 1), ('양파', 1), ('정도', 1)]"
2011.01.14,"[('돼지고기', 7), ('국내', 6), ('산', 6), ('수입', 6), ('고기', 5), ('식당', 3), ('가공', 3), ('업체', 3), ('구제역', 2), ('원산지', 2), ('확인', 2), ('단속', 2), ('지방', 2), ('공급', 2), ('소고기', 1), ('값', 1), ('크게', 1), ('오른', 1), ('적발', 1), ('보도', 1), ('경남', 1), ('녹취', 1), ('아주', 1), ('의심', 1), ('점검', 1), ('냉동', 1), ('독일', 1), ('직원', 1), ('음성', 1), ('거래', 1), ('발생', 1), ('정도', 1), ('정부', 1), ('더', 1), ('뉴스', 1)]"
2011.01.14,"[('국내', 6), ('산', 6), ('돼지고기', 6), ('수입', 6), ('고기', 5), ('식당', 3), ('가공', 3), ('업체', 3), ('구제역', 2), ('원산지', 2), ('확인', 2), ('단속', 2), ('지방', 2), ('공급', 2), ('소고기', 1), ('값', 1), ('크게', 1), ('오른', 1), ('적발', 1), ('보도', 1), ('경남', 1), ('돼지', 1), ('아주', 1), ('의심', 1), ('점검', 1), ('냉동', 1), ('독일', 1), ('직원', 1), ('음성', 1), ('거래', 1), ('발생', 1), ('정도', 1), ('정부', 1), ('더', 1), ('뉴스', 1)]"
2011.01.17,"[('북한', 4), ('옥수수', 3), ('쌀', 2), ('급등', 2), ('식료품', 1), ('가격', 1), ('일본', 1), ('평양', 1), ('지난', 1), ('돈', 1), ('돼지고기', 1), ('악화', 1), ('주요', 1), ('수출', 1), ('부족', 1), ('상인', 1), ('물가', 1), ('더', 1), ('예상', 1), ('판매', 1)]"
