Date,TF_IDF
2019.12.24,"[0.05178428551134078, 0.05345084730239152, 0.22835558362968267, 0.04893578761465416, 0.12134965336368075, 0.08628628689463998, 0.12045402773875298, 0.051660320357061806, 0.26898547825887664, 0.05612108225910236, 0.1771938937863342, 0.0646390500531591, 0.11903842964585089, 0.12297221290976189, 0.39450653209509107, 0.10775528940159083, 0.047799707722331775, 0.0667802667208903, 0.0883797061606236, 0.10496505816402683, 0.09520531475354897, 0.09664739685526709, 0.10024924135636379, 0.41482830468269905, 0.0809424348243802, 0.19438368897151426, 0.13774379648594845, 0.06638963330540859, 0.12935883287102307, 0.07262628732661644, 0.04529148592080914, 0.09517339564139446, 0.4519194381390163, 0.09520531475354897, 0.20576863701844325, 0.06435819143989821, 0.07893297559503912]"
2019.12.24,"[0.01572130245709871, 0.06845901766022668, 0.13052381577292366, 0.027287751126474993, 0.09581535984833066, 0.03659002097123171, 0.07731448238296575, 0.1057706640084842, 0.12067261039543963, 0.026274557831672877, 0.01806699483562214, 0.1101084223497355, 0.20749286353451724, 0.2666136291685371, 0.030595794114552877, 0.04150974232094176, 0.020095639659180976, 0.014523666288759405, 0.11312692733663357, 0.20983422265269044, 0.03343550790696016, 0.04690695871747134, 0.028011329253979023, 0.04819114799220596, 0.03515430645912335, 0.07746937416004002, 0.17365435711350344, 0.024695562390266608, 0.17237269467937108, 0.11770369319224322, 0.05559130500660548, 0.08063047172321976, 0.05914175753265518, 0.06572059187629486, 0.06363217799789672, 0.030793990097309112, 0.0642485260737319, 0.10142753887458142, 0.03668018306910869, 0.03212426303686595, 0.04374843215479134, 0.032652594836928575, 0.40620765468965253, 0.03763657404263325, 0.027312136796079287, 0.057703822285461864, 0.038864647401196925, 0.07915060935116365, 0.043113860002512105, 0.1963066746111485, 0.07268959854927079, 0.052837479610487556, 0.08919973222106012, 0.24723711387630415, 0.03668018306910869, 0.03140458076252245, 0.12807465835740722, 0.060729615465935985, 0.4515349113928887, 0.02866401849634901, 0.0567776183385642, 0.05524500364346132, 0.12261280262727572, 0.045828593707611984, 0.045024582353798415, 0.11126714780316747, 0.032141022298247376, 0.04057592942719618, 0.09353021681962487, 0.05703439519320157, 0.049818631058533694, 0.053713551547854066, 0.12570583295342275, 0.059361913961774364, 0.05357543906119168, 0.0489323812860219, 0.06705558779690722, 0.08706789900405326]"
2019.12.24,"[0.3381592539594873, 0.09203296928623976, 0.19639761921546314, 0.07798660498702242, 0.14673729464116952, 0.2946359321394521, 0.3864285102878977, 0.11324242780907935, 0.19675936882072326, 0.20787564957032578, 0.18959057267208393, 0.06489055219187673, 0.14128894375513443, 0.24643891783884816, 0.1943071037395262, 0.28846734371699745, 0.10806239708083014, 0.24846173059095278, 0.2235547881583365, 0.18903895014615357, 0.28135895051802357]"
2019.12.23,"[0.4475564918439416, 0.060903187455969184, 0.2599338283171916, 0.05160794940568526, 0.09710399470561366, 0.19497651271625538, 0.08524020679008826, 0.14987726381781732, 0.13020630341433911, 0.2509246474797563, 0.08588316762814924, 0.09349852660096017, 0.12858350713719888, 0.10593856646718444, 0.1581249667371082, 0.10887573021109474, 0.1848554850886835, 0.21453217724246065, 0.05168274981229554, 0.1539152320641553, 0.08345966382217894, 0.07396913994777692, 0.09967886158770274, 0.12509728531547196, 0.2153296376204649, 0.18398349868064917, 0.13611598607246092, 0.1408294937123743, 0.1479347936333341, 0.16641455055737633, 0.3022720306518157, 0.14245012695704135, 0.2123254211468188, 0.13584901276323227]"
2019.12.23,"[0.041804834375222664, 0.022755095376051086, 0.028923210589046646, 0.054421059550929116, 0.0636961419066965, 0.25199208923239746, 0.04864863361869806, 0.025698563618106435, 0.02343807657740345, 0.048132448042775916, 0.02402115628849022, 0.024399295012870238, 0.03820640192244767, 0.14015444751027367, 0.019790771917362428, 0.1379371209505684, 0.1772394278397564, 0.020339474242475362, 0.01931574162377438, 0.06098683512856356, 0.06906706150676041, 0.043482882252719145, 0.06679590398988261, 0.03276772025362527, 0.02633440753555591, 0.02578451747843574, 0.20275592262422898, 0.035434722161451125, 0.011603947351792513, 0.10144989806245545, 0.06668177815337961, 0.03118281143659101, 0.03071600547468786, 0.030356750828932157, 0.04145533849799756, 0.03294155445267925, 0.03165891883705763, 0.08937763312116762, 0.01862137350400748, 0.032036514876290396, 0.032834235533135234, 0.04583597301525212, 0.029374438361211862, 0.05360153087162428, 0.07281623309962963, 0.04230140392941201, 0.24565477178813072, 0.042711139848208964, 0.2865647784282491, 0.022130612545229918, 0.021753016505997154, 0.02167226607764852, 0.1067778496205224, 0.058166171835874456, 0.022957056257039, 0.024596884052677712, 0.09059460030442475, 0.046794209694527876, 0.05470000148824367, 0.029931445140288254, 0.019288482450334744, 0.050040088872937094, 0.01815656429086075, 0.10250941022856684, 0.05085665257706502, 0.03333485970456832, 0.054567194333665026, 0.04345975799689484, 0.025836443133323915, 0.039942006621691666, 0.11444253731994028, 0.3683242349921351, 0.052415191565379826, 0.09844897815489363, 0.017234619426669335, 0.31527358495900204, 0.13050076546240993, 0.04898001970590052, 0.0351253035482957, 0.06574332263635085, 0.07315276432605056, 0.11256427924539918, 0.03811053661228679, 0.08151054787131598, 0.035707698714700156, 0.04178336639853574, 0.03478291422952332, 0.07613535607815107, 0.022904996772551502, 0.056778965402355566, 0.030744177090243543, 0.026954665825302513, 0.03652378046450926, 0.04342472919191708, 0.04424963790598353, 0.04403700862865601, 0.045878368405500074, 0.06923195250617, 0.07775583247297534, 0.11391862998029642, 0.172799419923693, 0.048291061444435485, 0.20897559500975438, 0.08089057911762823, 0.03482508346668782, 0.04487193319070445, 0.031088512178721998, 0.025871209149163025, 0.13162618969647072, 0.03301193465128234, 0.036035786141592495, 0.09825241577264103, 0.04186788168360042, 0.02275040930098224, 0.0344517528358965, 0.037576766376216104, 0.03534534531595832, 0.029699853696781672, 0.03041119579975113, 0.03617972469616158, 0.03952972416841547, 0.03071600547468786, 0.09189587721957591, 0.025545666402484006, 0.03049341756428178, 0.04403700862865601, 0.024279595625007252, 0.05248733105368888, 0.03667489826087645, 0.05718521667673686, 0.08266088084636178, 0.03094360987060408, 0.03232927501594033, 0.04526608896876115, 0.02808141252682, 0.0445772185452285, 0.043326196531072426, 0.11087814605388362, 0.04895356235526393, 0.0270129885145904, 0.043116033844661936]"
2019.12.23,"[0.40090762380236683, 0.10663931620830007, 0.6673199044425054, 0.05752811295117859, 0.45845323049278136, 0.2483106455909711, 0.19351631502509972, 0.12005238458647667, 0.12814081101866623, 0.14909288853532207, 0.13010902129251264]"
2019.12.20,"[0.3147028019023437, 0.1712981854711678, 0.18277447779518852, 0.07257705596667638, 0.27419847985737184, 0.11987461873720145, 0.10538735494729558, 0.1831111346012035, 0.17643960274800807, 0.13148842137820188, 0.22934465650009495, 0.18082897114412289, 0.2684577762167097, 0.10056663759287544, 0.3518524871526907, 0.5174776690204788, 0.23403135153712323, 0.19104656387003616]"
2019.12.20,"[0.029557064690565953, 0.049187273872507015, 0.05354876585956237, 0.04528091044949975, 0.04095584442568348, 0.1555097690824244, 0.06814311379760185, 0.09821579175073232, 0.9473170368291652, 0.08997911698604891, 0.07920795155655863, 0.14887010755733165, 0.06609138693077449, 0.07429855444941531, 0.08836458999906317]"
2019.12.20,"[0.4679551977937642, 0.47533482877623245, 0.3641612936052616, 0.18926840967668465, 0.23270289049351728, 0.19633095050221908, 0.5421644375824806]"
2019.12.20,"[0.05102445878579117, 0.1428278420205047, 0.25113320304058534, 0.11524937852522937, 0.08837162875466671, 0.09121567262707264, 0.059911414017248414, 0.3030972784057063, 0.20815913925886714, 0.11374213240957176, 0.09968175141793495, 0.13613977493336116, 0.16702114215527256, 0.10354363694188806, 0.10277942928267503, 0.08816007804030845, 0.13062248514726765, 0.1836131142130686, 0.07559683813659292, 0.13042781796864836, 0.11403745537066953, 0.086016609721169, 0.058993207071024956, 0.13813099341174495, 0.11753221586545581, 0.07729144739603319, 0.12853595905876544, 0.11705037168702018, 0.31505024674600063, 0.09362691967070633, 0.08545644272379548, 0.1394214774458176, 0.17697651154862967, 0.1974911108645352, 0.11602363542359592, 0.1363839422395171, 0.1377509106867413, 0.2899717594436423, 0.1259356511095566, 0.10868611107699581, 0.10976136455572774, 0.20247337322773035, 0.16777860592047975, 0.14788928697708106, 0.09973622277218876]"
2019.12.20,"[0.2898822920464323, 0.16835911288549735, 0.13370585330937698, 0.25257253299374105, 0.33733843535267455, 0.1781984939122982, 0.16252386741769798, 0.05562651851542541, 0.12111797142024876, 0.2112563164133497, 0.24985057158748858, 0.24728459682267748, 0.1852699577671509, 0.10811363071741101, 0.09581960811437237, 0.16205099672056694, 0.23833218495628572, 0.43114674660798047, 0.3519575643271625]"
2019.12.19,"[0.08108636554735708, 0.046914360707808536, 0.03620549307968878, 0.06646131258014952, 0.0829863676989027, 0.09318483322747712, 0.050961614865412085, 0.056227450534387956, 0.06909870170358341, 0.06668360540801758, 0.07490927148001107, 0.0794373596673896, 0.41797641566298854, 0.1519356302400754, 0.4047232396300041, 0.0376632912318397, 0.1058848970266511, 0.05522951512562898, 0.3051630826674732, 0.11446784184641369, 0.16568854537688693, 0.05937125959616454, 0.05613784753186731, 0.05857366328310896, 0.06050930790656845, 0.1941196035824075, 0.053021717920509664, 0.04960353677318854, 0.3061786035536078, 0.06365188739321857, 0.07147251038219368, 0.06306226304090862, 0.09856100613350377, 0.14969114900729677, 0.08995514961109007, 0.07864906459438596, 0.09484817569507774, 0.12660310739362512, 0.12535289463322846, 0.1412563565818983, 0.3191103214172317, 0.07648249679032385, 0.1665407238522072, 0.07687527486295195, 0.08378085210964094, 0.11416147845578839]"
2019.12.18,"[0.2965337115048179, 0.17222215354085327, 0.06838688326190959, 0.25836787098678826, 0.09930290839258159, 0.34507874752257667, 0.18228730155037706, 0.16625301695133352, 0.05690288246661316, 0.12389705263344612, 0.21610364380192137, 0.1703889690108445, 0.2529586018384855, 0.14427373956425915, 0.2842815327862501, 0.09801821224920076, 0.1657692961214331, 0.4410395132187419, 0.3600333159550567]"
2019.12.18,"[0.06798834524101055, 0.07408530173582963, 0.12287097443508968, 0.0780784255428981, 0.09037467157468114, 0.39219638393501044, 0.36924132120309994, 0.13187210449808773, 0.10991743205153885, 0.09751764678709596, 0.20452154573942902, 0.21157598038218653, 0.1405076676499716, 0.09240054671766804, 0.1445129594794493, 0.14070104958648758, 0.49494376205388574, 0.20389556322218452, 0.2349806302317813, 0.21528240447113295, 0.16231775553886205, 0.1950179280771962, 0.1528077991001988]"
2019.12.18,"[0.07926771050311579, 0.04763408357417018, 0.18955521331320377, 0.10706780335407151, 0.08069642371176419, 0.08403419094524713, 0.08896442755963495, 0.10096995402589738, 0.09297247375055726, 0.10310312553515898, 0.14906501634843322, 0.07466592233651326, 0.08920092800220746, 0.10799765471493038, 0.11765407251184214, 0.1071408578490208, 0.20106247308808758, 0.11153331798134163, 0.2719016497553182, 0.21848093349855977, 0.5208914122680892, 0.18804954856353698, 0.2212972475160273, 0.13508103601449736, 0.09339019431367579, 0.21545994980840194, 0.15055007713068555, 0.11378841000308121, 0.11210629631386809, 0.21707812730560944, 0.13298319819803955, 0.12632049588296418, 0.16512944299239987, 0.19156238860905245, 0.15448065799193722]"
2019.12.18,"[0.10099458335444095, 0.06215719270322934, 0.0820424480103914, 0.062138999173130566, 0.0746819672484888, 0.11984549429495121, 0.07700174763081517, 0.09372775264556547, 0.06974038300688518, 0.399635214090435, 0.06597413953424339, 0.1072700877216999, 0.11658061065649127, 0.0792011022123778, 0.1862584831078911, 0.7914670954382189, 0.191309535392472, 0.20659815579874952]"
2019.12.18,"[0.15938926734410572, 0.6639277187529181, 0.4424339806915304, 0.23146166582065744, 0.29374005544196774, 0.21331387771754487, 0.2318305289464664, 0.2234064075000534, 0.2214291490531534]"
2019.12.18,"[0.08918976146391769, 0.10621074708315278, 0.12618454506336788, 0.15109548125632985, 0.11193540032485179, 0.21021640037253203, 0.27910840837381135, 0.7365056471489175, 0.23630457274176492, 0.21583814618480263, 0.2978574525459167, 0.2716698742263038]"
2019.12.18,"[0.36982350470499065, 0.2147877220674269, 0.08528904425546083, 0.1604773488813869, 0.32222478539324007, 0.21518334485543722, 0.22734052185995932, 0.20734328344897618, 0.21290014529707663, 0.15451883023686258, 0.2695147426064136, 0.31875218518773746, 0.3154785882604888, 0.11818104620032899, 0.20674000859127192, 0.1163697943827395, 0.27502231983038483, 0.22450867734627702]"
2019.12.17,"[0.15147083499706115, 0.02105983415248609, 0.12176412734892447, 0.01829282876237034, 0.32757541640099486, 0.2055852496531724, 0.06887388452378349, 0.03366559429314572, 0.0797205457285968, 0.03416484410278809, 0.03619022788251841, 0.028673815663096316, 0.04147413902403885, 0.027169197894368443, 0.09036495047935328, 0.03860682430272991, 0.03003932623767532, 0.04562272075258496, 0.08001478515754487, 0.3399374859886843, 0.06942132996894293, 0.0382751206742803, 0.06830078334897664, 0.04543780347904877, 0.11115214745129327, 0.046859940899775014, 0.6639007822744523, 0.047727458101303764, 0.3170717685354555, 0.14713069756783226, 0.17667322078385977, 0.04243118491428967, 0.16736943012547126, 0.07400157328448471]"
2019.12.17,"[0.21986551108046085, 0.49806606202910353, 0.14727430635675387, 0.2191659618946237, 0.20931544567334115, 0.6460176018006755, 0.1939641022380252, 0.2111250545459588, 0.3008626854203217]"
